file_name,processor,processor_description
HPE ProLiant Compute XD230 QuickSpecs_20260522113026.pdf,"['6952P', '6960P', '6972P', '6978P', '6980P']","['It is a 1U chassis system that supports Intel® Xeon® 6 processors with P-cores that deliver up to twice the HPC', 'performance compared to the 5th Gen Intel® Xeon® processors. With the capability to scale up to 128 cores, 12 memory', 'channels, and 96 PCIe lanes per socket, the Intel® Xeon® 6 processors address diverse HPC application needs,', 'New 6th Generation Intel® Xeon® Scalable Processors (AP with P-cores) Support for up to 24 DDR5', '2P server built on the 6th Generation Intel® Xeon® Scalable Processors. With choices from 72-128 cores, up to', '2.0 GHz base and 3.9 GHz turbo CPU speed and power ratings up to 500 W', '6th Gen Intel® Xeon®', 'Xeon® 6980P', 'Xeon® 6978P', 'Xeon® 6972P', 'Xeon® 6960P', 'Xeon® 6952P', 'Intel Xeon 6980P 2.0 GHz 128-core 500 W Processor Kit for HPE ProLiant Compute XD P76802-B21', 'Intel Xeon 6978P 2.1 GHz 120-core 500 W Processor Kit for HPE ProLiant Compute XD P84907-B21', 'Intel Xeon 6972P 2.4 GHz 96-core 500 W Processor Kit for HPE ProLiant Compute XD P76804-B21', 'Intel Xeon 6960P 2.7 GHz 72-core 500 W Processor Kit for HPE ProLiant Compute XD P76805-B21', 'Intel Xeon 6952P 2.1 GHz 96-core 400 W Processor Kit for HPE ProLiant Compute XD P76806-B21', 'Intel®, the Intel® logo, Xeon® and Xeon® Inside are trademarks of Intel® Corporation in the U.S. and other countries.']"
HPE ProLiant Compute XD680 QuickSpecs_20260522113212.pdf,"['6544Y', '6548Y', '8558', '8562Y', '8568Y', '8570', '8580', '8592']","['Intel Gaudi 3 OAM GPU accelerators in a standard 5U 2P form factor. Powered by 5th Generation Intel® Xeon® Scalable Processors', 'Supports 5th Generation Intel® Xeon® Scalable Processors.', 'For more information regarding Intel Xeon processors, please see the following http://www.intel.com/xeon.', 'Intel Xeon processors', '5th Generation Intel® Xeon® Scalable Processor Family', 'Intel Xeon Models', 'E-Star Certified  5th Generation Intel Xeon Emerald Rapids (Platinum, Gold, and Silver)', 'Intel Xeon-Gold 6548Y+ 2.5GHz 32-core 250W Processor for HPE P67082-B21', 'Intel Xeon-Gold 6544Y 3.6GHz 16-core 270W Processor for HPE P67084-B21', 'Intel Xeon-Platinum 8558 2.1GHz 48-core 330W Processor for HPE P67097-B21', 'Intel Xeon-Platinum 8562Y+ 2.8GHz 32-core 300W Processor for HPE P67085-B21', 'Intel Xeon-Platinum 8568Y+ 2.3GHz 48-core 350W Processor for HPE P67086-B21', 'Intel Xeon-Platinum 8570 2.1GHz 56-core 350W Processor for HPE P67087-B21', 'Intel Xeon-Platinum 8580 2.0GHz 60-core 350W Processor for HPE P67088-B21', 'Intel Xeon-Platinum 8592+ 1.9GHz 64-core 350W Processor for HPE P67089-B21', 'Intel® and Xeon® are registered trademarks of Intel Corporation in the U.S. and other countries.']"
HPE ProLiant Compute XD685 QuickSpecs_20260522113043.pdf,"['EPYC-9355', 'EPYC-9365', 'EPYC-9455', 'EPYC-9535', 'EPYC-9555', 'EPYC-9565', 'EPYC-9575F', 'EPYC-9645', 'EPYC-9655']","['DLC and 6U for Air. Powered by 5th Generation AMD EPYC™ Processors and', 'Launching the 5th Generation AMD EPYC™ Series Processors', 'Launching the 6400 MT/s memory DIMMs to support the new 5th Generation AMD EPYC™ Series Processors', 'Notes: For more information regarding AMD EPYC processors, please see the following:', 'https://www.amd.com/en/products/processors/server/epyc.html', '5th Generation AMD EPYC  Processor Family', 'AMD EPYC 9645', 'AMD EPYC 9655', 'AMD EPYC 9565', 'AMD EPYC 9535', 'AMD EPYC 9555', 'AMD EPYC 9455', 'AMD EPYC 9365', 'AMD EPYC 9355', 'AMD EPYC 9575F', 'for EPYC 5th Gen', 'AMD EPYC 9645 2.3GHz 96-core 320W Processor for HPE P73356-B21', 'AMD EPYC 9655 2.6GHz 96-core 400W Processor for HPE P73357-B21', 'AMD EPYC 9565 3.15GHz 72-core 400W Processor for HPE P73358-B21', 'AMD EPYC 9535 2.4GHz 64-core 300W Processor for HPE P73359-B21', 'AMD EPYC 9555 3.2GHz 64-core 360W Processor for HPE P73360-B21', 'AMD EPYC 9455 3.15GHz 48-core 300W Processor for HPE P73361-B21', 'AMD EPYC 9365 3.4GHz 36-core 300W Processor for HPE P73362-B21', 'AMD EPYC 9355 3.6GHz 32-core 280W Processor for HPE P73364-B21', 'AMD EPYC 9575F 3.0GHz 64-core 320W Processor for HPE P73377-B21', 'AMD® and EPYC® are registered trademarks of AMD Corporation in the U.S. and other countries.']"
HPE ProLiant DL110 Gen10 Plus - Carrier Grade Supplement QuickSpecs_20260522113211.pdf,"['5318N', '5318Y', '5320', '6330N', '6338N', '6338T']","['3rd Generation Intel Xeon-Gold', 'Intel Xeon-Gold 6338N 2.2GHz 32-core 185W Processor for HPE P37603-B21', 'Intel Xeon-Gold 6330N 2.2GHz 28-core 165W Processor for HPE P37604-B21', 'Intel Xeon-Gold 5318Y 2.1GHz 24-core 165W Processor for HPE P36924-B21', 'Intel Xeon-Gold 5320 2.2GHz 26-core 185W Processor for HPE P36925-B21', 'Intel Xeon-Gold 5318N 2.1GHz 24-core 150W Processor for HPE P37605-B21', 'Intel Xeon-Gold 6338T 2.1GHz 24-core 165W Processor for HPE P37607-B21', 'Intel® and Xeon® are registered trademarks of Intel Corporation in the U.S. and other countries.']"
HPE ProLiant DL110 Gen10 Plus Telco server a50002566enw.pdf,"['4314', '4316', '5318N', '5318Y', '5320', '5320T', '6312U', '6314U', '6330', '6330N', '6338N', '6338T']","['I/O capabilities with PCIe Gen4 speed, acceleration, and powerful compute driven by 3rd Generation Intel® Xeon® Scalable', 'Processor (3rd Gen Intel Xeon Scalable)', 'For more information regarding Intel Xeon processors, please see the following http://www.intel.com/xeon.', 'Intel Xeon processors', '3rd Generation Intel® Xeon® Scalable Processor Family', 'Intel Xeon Models', '3rd Generation Intel Xeon-Gold', 'Intel Xeon-Gold 6338N 2.2GHz 32-core 185W Processor for HPE P37603-B21', 'Intel Xeon-Gold 6338T 2.1GHz 24-core 165W Processor for HPE P37607-B21', 'Intel Xeon-Gold 6330N 2.2GHz 28-core 165W Processor for HPE P37604-B21', 'Intel Xeon-Gold 6330 2.0GHz 28-core 205W Processor for HPE P36927-B21', 'Intel Xeon-Gold 6314U 2.3GHz 32-core 205W Processor for HPE P37610-B21', 'Intel Xeon-Gold 6312U 2.4GHz 24-core 185W Processor for HPE P37611-B21', 'Intel Xeon-Gold 5320T 2.3GHz 20-core 150W Processor for HPE P37608-B21', 'Intel Xeon-Gold 5320 2.2GHz 26-core 185W Processor for HPE P36925-B21', 'Intel Xeon-Gold 5318Y 2.1GHz 24-core 165W Processor for HPE P36924-B21', 'Intel Xeon-Gold 5318N 2.1GHz 24-core 150W Processor for HPE P37605-B21', '3rd Generation Intel Xeon-Silver', 'Intel Xeon-Silver 4316 2.3GHz 20-core 150W Processor for HPE P36923-B21', 'Intel Xeon-Silver 4314 2.4GHz 16-core 135W Processor for HPE P36922-B21', 'Intel® and Xeon® are registered trademarks of Intel Corporation in the U.S. and other countries.']"
HPE ProLiant DL110 Gen11 - Carrier Grade Supplement QuickSpecs_20260522113135.pdf,"['4410Y', '4416', '5411N', '5412U', '5415', '5418N', '5420', '5423N', '6403N', '6421N', '6423N', '6426Y', '6434', '6438N', '6438Y', '6443N']","['4th Generation Intel Xeon-Gold', 'Intel Xeon-Gold 5412U 2.1GHz 24-core 185W Processor for HPE P49618-B21', 'Intel Xeon-Gold 5415+ 2.9GHz 8-core 150W Processor for HPE P49597-B21', 'Intel Xeon-Gold 6426Y 2.5GHz 16-core 185W Processor for HPE P49598-B21', 'Intel Xeon-Gold 6434 3.7GHz 8-core 195W Processor for HPE P49601-B21', 'Intel Xeon-Gold 5420+ 2.0GHz 28-core 205W Processor for HPE P49613-B21', 'Intel Xeon-Gold 6438Y+ 2.0GHz 32-core 205W Processor for HPE P49615-B21', 'Intel Xeon-Gold 6438N 2.0GHz 32-core 205W Processor for HPE P49638-B21', 'Intel Xeon-Gold 5411N 1.9GHz 24-core 165W Processor for HPE P49639-B21', 'Intel Xeon-Gold 5418N 1.8GHz 24-core 165W Processor for HPE P49640-B21', 'Intel Xeon-Gold 6421N 1.8GHz 32-core 185W Processor for HPE P49641-B21', 'Intel Xeon-Gold 5423N 2.1GHz 20-core 145W Processor for HPE P66247-B21', 'Intel Xeon-Gold 6403N 1.9GHz 24-core 185W Processor for HPE P66243-B21', 'Intel Xeon-Gold 6423N 2.0GHz 28-core 195W Processor for HPE P66239-B21', 'Intel Xeon-Gold 6443N 2.0GHz 32-core 195W Processor for HPE P66231-B21', '4th Generation Intel Xeon-Silver', 'Intel Xeon-Silver 4410Y 2.0GHz 12-core 150W Processor for HPE P49610-B21', 'Intel Xeon-Silver 4416+ 2.0GHz 20-core 165W Processor for HPE P49611-B21', 'Intel® and Xeon® are registered trademarks of Intel Corporation in the U.S. and other countries.']"
HPE ProLiant DL110 Gen11 QuickSpecs_20260522113008.pdf,"['4410Y', '4416', '5411N', '5415', '5418N', '5423N', '6403N', '6421N', '6423N', '6426Y', '6433N', '6434', '6438Y', '6443N']","['powerful compute driven by 4th Generation Intel® Xeon® Scalable Processors', 'and 4th Generation Intel® Xeon® Scalable Processors with Intel® vRAN Boost.', '3. Processor (4Th Gen Intel® Xeon® Scalable)', '4th Generation Intel® Xeon® Scalable Processors and 4th Generation Intel® Xeon® Scalable Processors with Intel®', 'For more information regarding Intel® Xeon® processors, refer to the following http://www.intel.com/xeon.', 'Intel® Xeon® processors', '4th Generation Intel® Xeon® Scalable Processor with Intel® vRAN Boost', 'Intel® Xeon® Models', '4th Generation Intel® Xeon® Scalable Processor Family', '4th Generation Intel® Xeon®-Gold', 'Intel® Xeon®-Gold 5415+ 2.9GHz 8-core 150W Processor for HPE P49597-B21', 'Intel® Xeon®-Gold 6426Y 2.5GHz 16-core 185W Processor for HPE P49598-B21', 'Intel® Xeon®-Gold 6434 3.7GHz 8-core 195W Processor for HPE P49601-B21', 'Intel® Xeon®-Gold 6438Y+ 2.0GHz 32-core 205W Processor for HPE P49615-B21', 'Intel® Xeon®-Gold 5411N 1.9GHz 24-core 165W Processor for HPE P49639-B21', 'Intel® Xeon®-Gold 5418N 1.8GHz 24-core 165W Processor for HPE P49640-B21', 'Intel® Xeon®-Gold 6421N 1.8GHz 32-core 185W Processor for HPE P49641-B21', 'Intel® Xeon®-Gold 5423N 2.1GHz 20-core 145W Processor for HPE P66247-B21', 'Intel® Xeon®-Gold 6403N 1.9GHz 24-core 185W Processor for HPE P66243-B21', 'Intel® Xeon®-Gold 6423N 2.0GHz 28-core 195W Processor for HPE P66239-B21', 'Intel® Xeon®-Gold 6433N 2.0GHz 32-core 205W Processor for HPE P66235-B21', 'Intel® Xeon®-Gold 6443N 2.0GHz 32-core 195W Processor for HPE P66231-B21', '4th Generation Intel® Xeon®-Silver', 'Intel® Xeon®-Silver 4410Y 2.0GHz 12-core 150W Processor for HPE P49610-B21', 'Intel® Xeon®-Silver 4416+ 2.0GHz 20-core 165W Processor for HPE P49611-B21', '4th Generation Intel® Xeon® Gold and Bronze obsolete SKUs.', 'Intel® and Xeon® are registered trademarks of Intel® Corporation in the U.S. and other countries.']"
HPE ProLiant DL120 Generation9 (Gen9) North America version c04447808.pdf,"['E5-1620V4', 'E5-1650V4', 'E5-2600V3', 'E5-2600V4', 'E5-2603V4', 'E5-2609V4', 'E5-2620V4', 'E5-2623V4', 'E5-2630LV4', 'E5-2630V3', 'E5-2630V4', 'E5-2640V4', 'E5-2650LV4', 'E5-2650V4', 'E5-2660V4', 'E5-2690V4', 'E5-2695V4', 'E5-2698V4', 'E5-2699V4']","['Xeon® E5-2600 v3/v4 series processor. Offering a combination of performance, redundancy, expandability as compared to the', 'Introducing new 14c 2.6GHz, E5-2690v4 processor support on DL120 Gen9', 'Intel® Xeon® E5-', 'Intel® Xeon® E5-2630v3', 'Intel® Xeon® E5-2609v4', 'Intel® Xeon® E5-2620v4', 'Intel® Xeon® E5-1620v4', '1866MHz with this processor.', '2133MHz with this processor.', '2400MHz with this processor.', 'HPE DL120 Gen9 Intel® Xeon® E5-2620v4 (2.1GHz/8-core/20MB/85W) FIO Processor Kit 803116-L21', 'HPE DL120 Gen9 Intel® Xeon® E5-2623v4 (2.6GHz/4-core/10MB/85W) FIO Processor Kit 803117-L21', 'HPE DL120 Gen9 Intel® Xeon® E5-2609v4 (1.7GHz/8-core/20MB/85W) FIO Processor Kit 803118-L21', 'HPE DL120 Gen9 Intel® Xeon® E5-2603v4 (1.7GHz/6-core/15MB/85W) FIO Processor Kit 803119-L21', 'HPE DL120 Gen9 Intel® Xeon® E5-2650Lv4 (1.7GHz/14-core/35MB/65W) FIO Processor Kit 803120-L21', 'HPE DL120 Gen9 Intel® Xeon® E5-2630Lv4 (1.8GHz/10-core/25MB/55W) FIO Processor Kit 803121-L21', 'HPE DL120 Gen9 Intel® Xeon® E5-2660v4 (2.0GHz/14-core/35MB/105W) FIO Processor Kit 803112-L21', 'HPE DL120 Gen9 Intel® Xeon® E5-2650v4 (2.2GHz/12-core/30MB/105W) FIO Processor Kit 803113-L21', 'HPE DL120 Gen9 Intel® Xeon® E5-2640v4 (2.4GHz/10-core/25MB/90W) FIO Processor Kit 803114-L21', 'HPE DL120 Gen9 Intel® Xeon® E5-2690v4 (2.6GHz/14-core/35MB/135W) FIO Processor Kit 870694-L21', 'HPE DL120 Gen9 Intel® Xeon® E5-2695v4 (2.1GHz/18-core/45MB/120W) FIO Processor Kit 803123-L21', 'HPE DL120 Gen9 Intel® Xeon® E5-2698v4 (2.2GHz/20-core/50MB/135W) FIO Processor Kit 803125-L21', 'HPE DL120 Gen9 Intel® Xeon® E5-2699v4 (2.2GHz/22-core/55MB/145W) FIO Processor Kit 803127-L21', 'HPE DL120 Gen9 Intel® Xeon® E5-2630v4 (2.2GHz/10-core/25MB/85W) FIO Processor Kit 803115-L21', 'HPE DL120 Gen9 Intel® Xeon® E5-1620v4 (3.5GHz/4-core/10MB/140W) Processor Kit 803133-L21', 'HPE DL120 Gen9 Intel® Xeon® E5-1650v4 (3.6GHZ/6-core/15MB/140W) Processor Kit 803135-L21', 'Intel Gen9 Supported Memory Bandwidth for HPE ProLiant Gen9 Intel® Xeon® E5-2600v3 Series Processor Family', 'Intel Gen9 Supported Memory Bandwidth for HPE ProLiant Gen9 Intel® Xeon® E5-2600v4 Series Processor Family', 'modules, Intel Xeon E5-2600v4 processor support,', 'Intel® and Xeon® are registered trademarks of Intel Corporation in the U.S. and other countries.']"
HPE ProLiant DL120 Generation9 Gen9 QuickSpecs_20260522113603.pdf,"['E5-1620V4', 'E5-1650V4', 'E5-2600V3', 'E5-2600V4', 'E5-2603V4', 'E5-2609V4', 'E5-2620V4', 'E5-2623V4', 'E5-2630LV4', 'E5-2630V3', 'E5-2630V4', 'E5-2640V4', 'E5-2650LV4', 'E5-2650V4', 'E5-2660V4', 'E5-2690V4', 'E5-2695V4', 'E5-2698V4', 'E5-2699V4']","['Xeon® E5-2600 v3/v4 series processor. Offering a combination of performance, redundancy, expandability as compared to the', 'Introducing new 14c 2.6GHz, E5-2690v4 processor support on DL120 Gen9', 'Intel® Xeon® E5-', 'Intel® Xeon® E5-2630v3', 'HPE DL120 Gen9 Intel® Xeon® E5-2603v4 (1.7GHz/6-core/15MB/85W) FIO Processor', 'HPE DL120 Gen9 Intel® Xeon® E5-2609v4 (1.7GHz/8-core/20MB/85W) FIO Processor', 'HPE DL120 Gen9 Intel® Xeon® E5-2630Lv4 (1.8GHz/10-core/25MB/55W) FIO Processor', 'HPE DL120 Gen9 Intel® Xeon® E5-2620v4 (2.1GHz/8-core/20MB/85W) FIO Processor', 'HPE DL120 Gen9 Intel® Xeon® E5-2623v4 (2.6GHz/4-core/10MB/85W) FIO Processor', 'HPE DL120 Gen9 Intel® Xeon® E5-2630v4 (2.2GHz/10-core/25MB/85W) FIO Processor', 'HPE DL120 Gen9 Intel® Xeon® E5-2640v4 (2.4GHz/10-core/25MB/90W) FIO Processor', 'HPE DL120 Gen9 Intel® Xeon® E5-2650Lv4 (1.7GHz/14-core/35MB/65W) FIO Processor', 'HPE DL120 Gen9 Intel® Xeon® E5-2650v4 (2.2GHz/12-core/30MB/105W) FIO Processor', 'HPE DL120 Gen9 Intel® Xeon® E5-2660v4 (2.0GHz/14-core/35MB/105W) FIO Processor', 'HPE DL120 Gen9 Intel® Xeon® E5-2690v4 (2.6GHz/14-core/35MB/135W) FIO Processor', 'HPE DL120 Gen9 Intel® Xeon® E5-2695v4 (2.1GHz/18-core/45MB/120W) FIO Processor', 'HPE DL120 Gen9 Intel® Xeon® E5-2698v4 (2.2GHz/20-core/50MB/135W) FIO Processor', 'HPE DL120 Gen9 Intel® Xeon® E5-2699v4 (2.2GHz/22-core/55MB/145W) FIO Processor', 'HPE DL120 Gen9 Intel® Xeon® E5-1620v4 (3.5GHz/4-core/10MB/140W) Processor Kit 803133-L21', 'HPE DL120 Gen9 Intel® Xeon® E5-1650v4 (3.6GHZ/6-core/15MB/140W) Processor Kit 803135-L21', 'Intel Gen9 Supported Memory Bandwidth for HPE ProLiant Gen9 Intel® Xeon® E5-2600v3 Series Processor Family', 'Intel Gen9 Supported Memory Bandwidth for HPE ProLiant Gen9 Intel® Xeon® E5-2600v4 Series Processor Family', 'modules, Intel Xeon E5-2600v4 processor support,', 'Intel® and Xeon® are registered trademarks of Intel Corporation in the U.S. and other countries.']"
HPE ProLiant DL145 Gen11 QuickSpecs_20260522113059.pdf,"['EPYC-8004', 'EPYC-8024P', 'EPYC-8024PN', 'EPYC-8124P', 'EPYC-8124PN', 'EPYC-8224P', 'EPYC-8224PN', 'EPYC-8324P', 'EPYC-8324PN', 'EPYC-8434P', 'EPYC-8434PN', 'EPYC-8534P', 'EPYC-8534PN', 'EPYC-9004']","['Powered by the 4th generation AMD® EPYC™ 8004 Zen4c architecture, this server provides up to 64 energy-efficient', 'Notes: For more information regarding AMD EPYC™ processors, refer to the following:', 'https://www.amd.com/en/products/processors/server/epyc.html', 'EPYC™', 'For the Memory Population Rules and Guidelines with AMD EPYC™ 8004 series processors, see details here:', 'AMD EPYC™ 8024P 2.4GHz 8-core 90W Processor for HPE P69258-B21', 'AMD EPYC™ 8124P 2.45GHz 16-core 125W Processor for HPE P69259-B21', 'AMD EPYC™ 8224P 2.55GHz 24-core 160W Processor for HPE P69260-B21', 'AMD EPYC™ 8324P 2.65GHz 32-core 180W Processor for HPE P69261-B21', 'AMD EPYC™ 8434P 2.5GHz 48-core 200W Processor for HPE P69262-B21', 'AMD EPYC™ 8534P 2.3GHz 64-core 200W Processor for HPE P69263-B21', 'AMD EPYC™ 8024PN 2.05GHz 8-core 80W Processor for HPE P71859-B21', 'AMD EPYC™ 8124PN 2.0GHz 16-core 100W Processor for HPE P71862-B21', 'AMD EPYC™ 8224PN 2.0GHz 24-core 120W Processor for HPE P71865-B21', 'AMD EPYC™ 8324PN 2.05GHz 32-core 130W Processor for HPE P71868-B21', 'AMD EPYC™ 8434PN 2.0GHz 48-core 155W Processor for HPE P71871-B21', 'AMD EPYC™ 8534PN 2.0GHz 64-core 175W Processor for HPE P71874-B21', 'AMD EPYC™ 8024P 2.4GHz 8-core 90W Processor', 'AMD EPYC™ 8124P 2.45GHz 16-core 125W Processor', 'AMD EPYC™ 8224P 2.55GHz 24-core 160W Processor', 'AMD EPYC™ 8324P 2.65GHz 32-core 180W Processor', 'AMD EPYC™ 8434P 2.5GHz 48-core 200W Processor', 'AMD EPYC™ 8534P 2.3GHz 64-core 200W Processor', 'AMD EPYC™ 8024PN 2.05GHz 8-core 80W Processor', 'AMD EPYC™ 8124PN 2.0GHz 16-core 100W Processor', 'AMD EPYC™ 8224PN 2.0GHz 24-core 120W', 'AMD EPYC™ 8324PN 2.05GHz 32-core 130W', 'AMD EPYC™ 8434PN 2.0GHz 48-core 155W', 'Processor for HPE P71871-B21', 'AMD EPYC™ 8534PN 2.0GHz 64-core 175W', 'AMD EPYC™ 8124P 2.45GHz 16-core 125W Processor for', 'AMD EPYC™ 8224P 2.55GHz 24-core 160W Processor for', 'AMD EPYC™ 8324P 2.65GHz 32-core 180W Processor for', 'AMD EPYC™ 8434P 2.5GHz 48-core 200W Processor for', 'AMD EPYC™ 8534P 2.3GHz 64-core 200W Processor for', 'AMD EPYC™ 8024PN 2.05GHz 8-core 80W Processor for', 'AMD EPYC™ 8124PN 2.0GHz 16-core 100W Processor for', 'AMD EPYC™ 8224PN 2.0GHz 24-core 120W Processor for', 'AMD EPYC™ 8324PN 2.05GHz 32-core 130W Processor for', 'AMD EPYC™ 8434PN 2.0GHz 48-core 155W Processor for', 'AMD EPYC™ 8534PN 2.0GHz 64-core 175W Processor for', 'For details on the Memory Population Rules and Guidelines with AMD EPYC™ 9004 series processors, please go to:', 'AMD® and EPYC™ are registered trademarks of Advanced Micro Devices Corporation in the U.S. and other']"
HPE ProLiant DL160 Gen10 Server a00021860enw.pdf,"['3204', '3206R', '4208', '4210R', '4214R']","['For more information regarding Intel Xeon processors, please see the following http://www.intel.com/xeon.', '2nd Generation Intel® Xeon® Scalable Processor Family', 'Intel Xeon Models', '1st Generation Intel® Xeon® Scalable Processor Family', 'Powered by 2nd Generation Intel Xeon Processors', 'For example: first processor, select 878947-L21 then for second processor, select 878947-B21.', 'When 2nd Generation Intel Xeon Scalable Processor is slected, then only DDR4-2933 Memory Kit can be selected; When 1st', 'Generation Intel Xeon Scalable Processor is selected, then only DDR4-2666 Memory Kit can be selected', 'DDR4-2933 Memory Kits are only supported with 2nd Generation Intel Xeon Scalable Series Processors and DDR4-2666', 'Memory Kits are only supported with 1st Generation Intel Xeon Scalable Series Processors.', 'Registered DIMMs (RDIMMs) for 2nd Generation Intel Xeon Scalable Series', 'Registered DIMMs (RDIMMs) for 1st Generation Intel Xeon Scalable Series', '2nd Generation Intel Xeon- Silver', 'Intel Xeon-Silver 4214R (2.4GHz/12-core/100W) Processor Kit for HPE ProLiant DL160 Gen10 P21192-B21', 'Intel Xeon-Silver 4210R (2.4GHz/10-core/100W) Processor Kit for HPE ProLiant DL160 Gen10 P21191-B21', 'Intel Xeon-Silver 4208 (2.1GHz/8-core/85W) Processor Kit for HPE ProLiant DL160 Gen10 P11125-B21', '2nd Generation Intel Xeon- Bronze', 'Intel Xeon-Bronze 3206R (1.9GHz/8-core/85W) Processor Kit for HPE ProLiant DL160 Gen10 P21189-B21', 'Intel Xeon-Bronze 3204 (1.9GHz/6-core/85W) Processor Kit for HPE ProLiant DL160 Gen10 P11124-B21', 'Intel and Xeon are registered trademarks of Intel Corporation in the U.S. and other countries.']"
HPE ProLiant DL160 Generation 8 (Gen8) c04123162.pdf,"['E5-2600', 'E5-2603', 'E5-2609', 'E5-2620', 'E5-2630', 'E5-2630L', 'E5-2640', 'E5-2650', 'E5-2650L', 'E5-2660', 'E5-2665', 'E5-2667', 'E5-2670', 'E5-2680']","['3. Up to two Intel® Xeon® E5-2600 Series processors', 'Intel® Xeon® E5-2680 (2.7GHz/8-core/20MB/8GT-s QPI/130W, DDR3-1600, HT, Turbo2-', 'Intel® Xeon® E5-2670 (2.6GHz/8-core/20MB/8GT-s QPI/115W, DDR3-1600, HT, Turbo2-', 'Intel® Xeon® E5-2665 (2.4GHz/8-core/20MB/8GT-s QPI/115W, DDR3-1600, HT, Turbo2-', 'Intel® Xeon® E5-2660 (2.2GHz/8-core/20MB/8GT-s QPI/95W, DDR3-1600, HT, Turbo2-', 'Intel® Xeon® E5-2650 (2.0GHz/8-core/20MB/8GT-s QPI/95W, DDR3-1600, HT, Turbo2-', 'Intel® Xeon® E5-2650L (1.8GHz/8-core/20MB/8.0 GT-s QPI/70W, DDR3-1600, HT, Turbo2-', 'Intel® Xeon® E5-2667 (2.9GHz/6-core/15MB/8GT-s QPI/130W, DDR3-1600, HT, Turbo2- 3/3/3/4/5/6)', 'Intel® Xeon® E5-2640 (2.5GHz/6-core/15MB/7.2GT-s QPI/95W, DDR3-1333, HT, Turbo2- 3/3/4/4/5/5)', 'Intel® Xeon® E5-2630 (2.3GHz/6-core/15MB/7.2GT-s QPI/95W, DDR3-1333, HT, Turbo2- 3/3/4/4/5/5)', 'Intel® Xeon® E5-2630L (2.0GHz/6-core/15MB/8.0GT-s QPI/60W, DDR3-1333, HT, Turbo2- 3/3/4/4/5/5)', 'Intel® Xeon® E5-2620 (2.0GHz/6-core/15MB/7.2GT-s QPI/95W, DDR3-1333, HT, Turbo2- 3/3/4/4/5/5)', 'Intel® Xeon® E5-2609 (2.4GHz/4-core/10MB/6.4GT-s QPI/80W)', 'Intel® Xeon® E5-2603 (1.8GHz/4-core/10MB/6.4GT-s QPI/80W)', '(1) Intel® Xeon® E5-2603 (1.8GHz/4-core/10MB/6.4GT-s QPI/80W)', '(1) Intel® Xeon® E5-2620 (2.0GHz/6-core/15MB/7.2GT-s QPI/95W, DDR3-', '(2) Intel® Xeon® E5-2640 (2.5GHz/6-core/15MB/7.2GT-s QPI/95W, DDR3-', 'Depending on the memory configuration and processor model, 1600MHz', 'Not all Intel E5 processor series support 1600MHz or 1333MHz speeds.', 'HP DL160 Gen8 Intel® Xeon® E5-2680 (2.7GHz/8-core/20MB/130W) Processor Kit 662933-B21', 'HP DL160 Gen8 Intel® Xeon® E5-2670 (2.6GHz/8-core/20MB/115W) Processor Kit 662932-B21', 'HP DL160 Gen8 Intel® Xeon® E5-2665 (2.4GHz/8-core/20MB/115W) Processor Kit 662925-B21', 'HP DL160 Gen8 Intel® Xeon® E5-2660 (2.2GHz/8-core/20MB/95W) Processor Kit 662924-B21', 'HP DL160 Gen8 Intel® Xeon® E5-2650 (2.0GHz/8-core/20MB/95W) Processor Kit 662931-B21', 'HP DL160 Gen8 Intel® Xeon® E5-2650L (1.8GHz/8-core/20MB/70W) Processor Kit 668863-B21', 'HP DL160 Gen8 Intel® Xeon® E5-2667 (2.9GHz/6-core/15MB/130W) Processor Kit 662927-B21', 'HP DL160 Gen8 Intel® Xeon® E5-2640 (2.5GHz/6-core/15MB/95W) Processor Kit 662930-B21', 'HP DL160 Gen8 Intel® Xeon® E5-2630 (2.3GHz/6-core/15MB/95W) Processor Kit 662929-B21', 'HP DL160 Gen8 Intel® Xeon® E5-2620 (2.0GHz/6-core/15MB/95W) Processor Kit 662928-B21', 'HP DL160 Gen8 Intel® Xeon® E5-2630L (2.0GHz/6-core/15MB/60W) Processor Kit 662921-B21', 'HP DL160 Gen8 Intel® Xeon® E5-2609 (2.4GHz/4-core/10MB/80W) Processor Kit 662923-B21', 'HP DL160 Gen8 Intel® Xeon® E5-2603 (1.8GHz/4-core/10MB/80W) Processor Kit 662922-B21', 'Intel Xeon E5-2640', 'Intel Xeon E5-2620', 'Intel Xeon E5-2603', 'Intel, the Intel logo, Xeon and Xeon Inside are trademarks of Intel Corporation in the U.S. and other']"
