server_name,server_url,failure_type,failure_reason,error_message,attempt_number,timestamp
ABIT- SR7-8X Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/13225/abit-sr7-8x-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T13:44:57.732553+00:00
ABIT- NF-M2P Motherboard,https://www.kingston.com/en/memory/search/model/33766/abit-nf-m2p-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T13:46:59.033724+00:00
ABIT- TH7II-RAID/TH7II Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/13229/abit-th7ii-raid-th7ii-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T13:47:30.265790+00:00
ABIT- KN8 SLI Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/25199/abit-kn8-sli-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T13:50:17.227695+00:00
ABIT- NF8-V Pro Motherboard,https://www.kingston.com/en/memory/search/model/25886/abit-nf8-v-pro-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T13:50:48.334939+00:00
ABIT- NV7m Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/13228/abit-nv7m-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T13:52:49.602419+00:00
ABIT- NI8-SLI GR Motherboard,https://www.kingston.com/en/memory/search/model/25196/abit-ni8-sli-gr-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T13:53:20.805532+00:00
ABIT- AX78 Motherboard,https://www.kingston.com/en/memory/search/model/43051/abit-ax78-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T13:55:22.127543+00:00
ABIT- AW8 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/24054/abit-aw8-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T13:55:53.265441+00:00
ABIT- BD7-E Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/15666/abit-bd7-e-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T13:57:54.462392+00:00
ABIT- NF-M2S Motherboard,https://www.kingston.com/en/memory/search/model/33779/abit-nf-m2s-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T13:58:25.549003+00:00
ABIT- KT7 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/10154/abit-kt7-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T14:01:50.187309+00:00
ABIT- AG8-V Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/19628/abit-ag8-v-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T14:02:21.356056+00:00
ABIT- GD8-M Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/22710/abit-gd8-m-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T14:04:22.760401+00:00
ABIT- AW8D Motherboard,https://www.kingston.com/en/memory/search/model/29919/abit-aw8d-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T14:04:53.783191+00:00
ABIT- BF6 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/9780/abit-bf6-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T14:07:18.774930+00:00
ABIT- KN8 Ultra Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/25198/abit-kn8-ultra-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T14:08:13.163123+00:00
ABIT- Fatal1ty AN8 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/19487/abit-fatal1ty-an8-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T14:10:14.172172+00:00
ABIT- KR7A-133 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/13847/abit-kr7a-133-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T14:10:45.209864+00:00
ABIT- IX38 QuadGT Motherboard,https://www.kingston.com/en/memory/search/model/41854/abit-ix38-quadgt-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T14:15:20.653940+00:00
ABIT- AX8 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/20435/abit-ax8-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T14:15:51.669157+00:00
ABIT- SI-2P Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/13439/abit-si-2p-motherboard,Navigation Error,Failed to open https://www.kingston.com/en/memory/search/discontinuedmodel/13439/abit-si-2p-motherboard,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://www.kingston.com/en/memory/search/discontinuedmodel/13439/abit-si-2p-motherboard
Call log:
  - navigating to ""https://www.kingston.com/en/memory/search/discontinuedmodel/13439/abit-si-2p-motherboard"", waiting until ""domcontentloaded""
",2,2026-08-25T16:19:45.100203+00:00
ABIT- KG7/KG7-RAID Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/11160/abit-kg7-kg7-raid-motherboard,Navigation Error,Failed to open https://www.kingston.com/en/memory/search/discontinuedmodel/11160/abit-kg7-kg7-raid-motherboard,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://www.kingston.com/en/memory/search/discontinuedmodel/11160/abit-kg7-kg7-raid-motherboard
Call log:
  - navigating to ""https://www.kingston.com/en/memory/search/discontinuedmodel/11160/abit-kg7-kg7-raid-motherboard"", waiting until ""domcontentloaded""
",2,2026-08-25T16:20:08.585077+00:00
ABIT- KV8 Motherboard,https://www.kingston.com/en/memory/search/model/19079/abit-kv8-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T16:24:43.100501+00:00
ABIT- GD8-V Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/22713/abit-gd8-v-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T16:25:14.523114+00:00
ABIT- KV7 Motherboard,https://www.kingston.com/en/memory/search/model/16549/abit-kv7-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T16:27:16.135994+00:00
ABIT- AN8-V Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/22716/abit-an8-v-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T16:27:47.662394+00:00
ABIT- A-N68SV Motherboard,https://www.kingston.com/en/memory/search/model/42687/abit-a-n68sv-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T16:29:49.236687+00:00
ABIT- AL8 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/24052/abit-al8-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T16:30:21.261648+00:00
ABIT- AN8-3rd Eye Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/22717/abit-an8-3rd-eye-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T16:32:23.073230+00:00
ABIT- KA7-100 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/10139/abit-ka7-100-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T16:32:54.487547+00:00
ABIT- I-N73HD Motherboard,https://www.kingston.com/en/memory/search/model/42704/abit-i-n73hd-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T16:37:40.666583+00:00
ABIT- SI-Ns60 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/19488/abit-si-ns60-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T16:38:12.042033+00:00
ABIT- TH7/TH7-RAID Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/10777/abit-th7-th7-raid-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T16:42:46.948020+00:00
ABIT- LP-81 Motherboard,https://www.kingston.com/en/memory/search/model/24319/abit-lp-81-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T16:43:18.313889+00:00
ABIT- SI-2Ps Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/19629/abit-si-2ps-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T16:45:19.791874+00:00
ABIT- GD8-MV Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/22712/abit-gd8-mv-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T16:45:51.185062+00:00
ABIT- BD7III Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/17155/abit-bd7iii-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',3,2026-08-25T16:46:22.457730+00:00
ABIT- BE6-II Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/9792/abit-be6-ii-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',3,2026-08-25T16:46:53.816682+00:00
ABIT- AG8-V Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/19628/abit-ag8-v-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',3,2026-08-25T16:51:53.356910+00:00
ABIT- GD8-M Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/22710/abit-gd8-m-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',3,2026-08-25T16:52:25.413202+00:00
ABIT- AW8D Motherboard,https://www.kingston.com/en/memory/search/model/29919/abit-aw8d-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',3,2026-08-25T16:54:26.899344+00:00
ABIT- BF6 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/9780/abit-bf6-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',3,2026-08-25T16:54:58.416424+00:00
ABIT- KN8 Ultra Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/25198/abit-kn8-ultra-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',3,2026-08-25T16:56:59.910392+00:00
ABIT- Fatal1ty AN8 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/19487/abit-fatal1ty-an8-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',3,2026-08-25T16:57:31.359300+00:00
ABIT- TH7/TH7-RAID Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/10777/abit-th7-th7-raid-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',3,2026-08-25T17:02:33.923777+00:00
ABIT- LP-81 Motherboard,https://www.kingston.com/en/memory/search/model/24319/abit-lp-81-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',3,2026-08-25T17:03:05.352096+00:00
ABIT- AW8D Motherboard,https://www.kingston.com/en/memory/search/model/29919/abit-aw8d-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-26T05:47:05.477153+00:00
ABIT- LP-81 Motherboard,https://www.kingston.com/en/memory/search/model/24319/abit-lp-81-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-26T05:47:37.060523+00:00
